time,acc,atrunc
58.521,-0.011006863,-0.011006863
58.525,-0.018706863,-0.018706863
58.529,0.002193137,0.002193137
58.534,-0.003206863,-0.003206863
58.538,0.002193137,0.002193137
58.542,0.014193137,0.014193137
58.546,0.002793137,0.002793137
58.55,-0.006806863,-0.006806863
58.555,0.019593137,0.019593137
58.559,0.006993137,0.006993137
58.563,-0.022906863,-0.02
58.567,-0.021106863,-0.02
58.571,-0.009806863,-0.009806863
58.576,0.002793137,0.002793137
58.58,0.005193137,0.005193137
58.584,-0.006806863,-0.006806863
58.588,-0.016906863,-0.016906863
58.592,-0.016906863,-0.016906863
58.597,0.008793137,0.008793137
58.601,0.005193137,0.005193137
58.605,0.012993137,0.012993137
58.609,0.005193137,0.005193137
58.613,0.012393137,0.012393137
58.618,0.012393137,0.012393137
58.622,-0.033106863,-0.02
58.626,0.015393137,0.015393137
58.63,-0.010406863,-0.010406863
58.634,-0.043306863,-0.02
58.639,-0.055206863,-0.02
58.643,-0.006806863,-0.006806863
58.647,0.011793137,0.011793137
58.651,0.012393137,0.012393137
58.655,0.009993137,0.009993137
58.66,-0.008006863,-0.008006863
58.664,-0.015106863,-0.015106863
58.668,-0.008606863,-0.008606863
58.672,0.005193137,0.005193137
58.676,0.012393137,0.012393137
58.681,0.027993137,0.02
58.685,0.016593137,0.016593137
58.689,-0.011606863,-0.011606863
58.693,0.017193137,0.017193137
58.697,-0.012806863,-0.012806863
58.702,-0.008606863,-0.008606863
58.706,0.015993137,0.015993137
58.71,-0.011006863,-0.011006863
58.714,0.004593137,0.004593137
58.718,0.002193137,0.002193137
58.723,0.012393137,0.012393137
58.727,-0.008606863,-0.008606863
58.731,-0.012806863,-0.012806863
58.735,-0.017506863,-0.017506863
58.739,-0.019906863,-0.019906863
58.744,0.003993137,0.003993137
58.748,0.026793137,0.02
58.752,-0.004406863,-0.004406863
58.756,-0.013906863,-0.013906863
58.761,-0.002606863,-0.002606863
58.765,0.012393137,0.012393137
58.769,-0.000806863,-0.000806863
58.773,-0.022906863,-0.02
58.777,-0.018706863,-0.018706863
58.782,-0.018706863,-0.018706863
58.786,-0.006206863,-0.006206863
58.79,0.006993137,0.006993137
58.794,0.017193137,0.017193137
58.798,0.006393137,0.006393137
58.803,0.023193137,0.02
58.807,0.001593137,0.001593137
58.811,-0.012206863,-0.012206863
58.815,0.006393137,0.006393137
58.819,0.001593137,0.001593137
58.824,-0.019906863,-0.019906863
58.828,-0.018106863,-0.018106863
58.832,-0.015706863,-0.015706863
58.836,-0.009206863,-0.009206863
58.84,0.036293137,0.02
58.845,0.007593137,0.007593137
58.849,0.003993137,0.003993137
58.853,-0.008606863,-0.008606863
58.857,-0.016306863,-0.016306863
58.861,0.013593137,0.013593137
58.866,0.002193137,0.002193137
58.87,0.001593137,0.001593137
58.874,-0.022306863,-0.02
58.878,-0.016306863,-0.016306863
58.882,0.008793137,0.008793137
58.887,-0.006206863,-0.006206863
58.891,-0.009806863,-0.009806863
58.895,-0.011606863,-0.011606863
58.899,-0.002006863,-0.002006863
58.903,-0.007406863,-0.007406863
58.908,0.001593137,0.001593137
58.912,0.009993137,0.009993137
58.916,0.002193137,0.002193137
58.92,0.006993137,0.006993137
58.924,0.003393137,0.003393137
58.929,-0.000806863,-0.000806863
58.933,-0.003806863,-0.003806863
58.937,-0.008606863,-0.008606863
58.941,-0.009206863,-0.009206863
58.945,-0.019906863,-0.019906863
58.95,-0.012206863,-0.012206863
58.954,0.010593137,0.010593137
58.958,-0.003806863,-0.003806863
58.962,-0.000206863,-0.000206863
58.966,-0.020506863,-0.02
58.971,-0.008006863,-0.008006863
58.975,0.015393137,0.015393137
58.979,0.005193137,0.005193137
58.983,0.015393137,0.015393137
58.987,0.009393137,0.009393137
58.992,-0.000206863,-0.000206863
58.996,0.039393137,0.02
59,0.004593137,0.004593137
59.004,-0.008006863,-0.008006863
59.008,-0.012206863,-0.012206863
59.013,-0.018106863,-0.018106863
59.017,0.005793137,0.005793137
59.021,0.018993137,0.018993137
59.025,0.011193137,0.011193137
59.029,-0.025906863,-0.02
59.034,-0.024106863,-0.02
59.038,-0.036106863,-0.02
59.042,-0.077406863,-0.02
59.046,0.003393137,0.003393137
59.05,-0.000206863,-0.000206863
59.055,0.005793137,0.005793137
59.059,0.009393137,0.009393137
59.063,0.024393137,0.02
59.067,-0.008606863,-0.008606863
59.071,-0.010406863,-0.010406863
59.076,0.009993137,0.009993137
59.08,-0.022306863,-0.02
59.084,-0.018106863,-0.018106863
59.088,0.012993137,0.012993137
59.092,-0.006806863,-0.006806863
59.097,0.004593137,0.004593137
59.101,-0.008606863,-0.008606863
59.105,0.003993137,0.003993137
59.109,0.015393137,0.015393137
59.113,0.008193137,0.008193137
59.118,0.012393137,0.012393137
59.122,-0.004406863,-0.004406863
59.126,-0.010406863,-0.010406863
59.13,0.009993137,0.009993137
59.134,0.022593137,0.02
